-----------------------------------------
| author                        | count |
| "Xiao, S."                    | 3     |
| "Kosnik, M.A."                | 2     |
| "Fortelius, M."               | 2     |
| "Niko, S."                    | 3     |
| "Ward, D. J."                 | 2     |
| "Kopylov, D. S."              | 2     |
| "HOLMER, L. E."               | 3     |
| "Caze, B."                    | 2     |
| "Schairer, G."                | 2     |
| "Tosolini, A. M."             | 2     |
| "Jiang, B."                   | 2     |
| "Zhu, M."                     | 3     |
| "Makled, W.A."                | 2     |
| "Bengtson, S."                | 3     |
| "Alberdi, M. T."              | 2     |
| "Tyszka, J."                  | 3     |
| "Huang, J."                   | 2     |
| "Serezhnikova, E. A."         | 2     |
| "Barrett, P."                 | 2     |
| "Francois, L."                | 2     |
| "Clement, G."                 | 2     |
| "Cozar, P."                   | 4     |
| "Verna, V."                   | 2     |
| "Cummins, L. E."              | 2     |
| "Chatterton, B."              | 2     |
| "Byrne, T."                   | 2     |
| "Nahm, W. H."                 | 2     |
| "Giralt, S."                  | 3     |
| "Sterling, T. M."             | 2     |
| "Beserra, T. B."              | 2     |
| "Meister, C."                 | 5     |
| "McLoughlin, S."              | 4     |
| "Mann, P."                    | 5     |
| "de Lumley, M. A."            | 2     |
| "HIEMSTRA, J. F."             | 2     |
| "Girard, C."                  | 2     |
| "Emeis, K. C."                | 2     |
| "Lazar, I."                   | 2     |
| "Wesling, J. R."              | 2     |
| "Dickinson, W. R."            | 3     |
| "Katsura, Y."                 | 2     |
| "Payros, A."                  | 2     |
| "Michaux, J."                 | 2     |
| "Osi, A."                     | 2     |
| "Malaize, B."                 | 2     |
| "Somerville, I. D."           | 4     |
| "Komatsu, T."                 | 2     |
| "Bohme, M."                   | 3     |
| "Robinson, M. M."             | 2     |
| "Maeda, H."                   | 2     |
| "MALETZ, J."                  | 2     |
| "Vidal, M."                   | 2     |
| "Sloane, H. J."               | 3     |
| "Alroy, J."                   | 2     |
| "Han, J."                     | 2     |
| "Chapin, C. E."               | 3     |
| "Reif, W.-E."                 | 3     |
| "Harris, P. M."               | 2     |
| "Bannikov, A. F."             | 3     |
| "Chough, S. K."               | 2     |
| "Yamamoto, S."                | 2     |
| "Malvesy, T."                 | 2     |
| "Liu, Y."                     | 3     |
| "Liu, Y. S."                  | 3     |
| "Monaco, P."                  | 2     |
| "Krings, M."                  | 2     |
| "Joachimski, M."              | 2     |
| "Mors, T."                    | 2     |
| "Gingerich, P.D."             | 2     |
| "Liu, H."                     | 2     |
| "MORALES, J."                 | 2     |
| "BROCK, G. A."                | 2     |
| "Singh, G."                   | 3     |
| "De Deckker, P."              | 3     |
| "Salamon, M.A."               | 2     |
| "Pagani, M. A."               | 2     |
| "Sifeddine, A."               | 3     |
| "Teodoridis, V."              | 2     |
| "Algeo, T. J."                | 6     |
| "KLUG, M."                    | 2     |
| "Benton, M. J."               | 4     |
| "Lucas, S."                   | 5     |
| "Averianov, A.O."             | 2     |
| "Mace-Bordy, J."              | 2     |
| "Tian, J."                    | 2     |
| "Rook, L."                    | 2     |
| "Grabau, L."                  | 3     |
| "McCoy, W. D."                | 2     |
| "Nagar, D.P."                 | 2     |
| "Cai, C. C."                  | 2     |
| "Reisz, R.R."                 | 2     |
| "Brunet, M."                  | 3     |
| "Geraads, D."                 | 2     |
| "Rahman, I."                  | 2     |
| "Kowalewski, M."              | 3     |
| "Zhang, X."                   | 4     |
| "Spicer, R. A."               | 6     |
| "Thunell, R. C."              | 2     |
| "SNOWBALL, I."                | 2     |
| "Kurihara, Y."                | 2     |
| "Bartlein, P. J."             | 3     |
| "Smirnova, T. N."             | 2     |
| "Crasquin, S."                | 5     |
| "Andrade-Neto, M."            | 2     |
| "Cronier, C."                 | 3     |
| "Casanovas-Vilar, I."         | 3     |
| "Jin, C.-Z."                  | 2     |
| "Weidlich, O."                | 2     |
| "ALDRIDGE, R. J."             | 2     |
| "Kamiya, T."                  | 2     |
| "Sayeswara, H.A."             | 2     |
| "Wladislaw, B."               | 2     |
| "Schwarz-Wings, D."           | 2     |
| "Pille, L."                   | 2     |
| "Wang, B."                    | 6     |
| "SIVERSON, M."                | 2     |
| "de Leeuw, A."                | 3     |
| "Collin, P. Y."               | 2     |
| "Feng, Q."                    | 3     |
| "Tabanelli, C."               | 2     |
| "Nitchman, S. P."             | 2     |
| "Paupe, P."                   | 2     |
| "Zelenkov, N. V."             | 3     |
| "Silver, E. A."               | 2     |
| "REES, J."                    | 2     |
| "Klein, N."                   | 4     |
| "Fursich, F. T."              | 3     |
| "Bucher, H."                  | 3     |
| "Gorican, S."                 | 2     |
| "Kamble, S.S."                | 2     |
| "Lowemark, L."                | 2     |
| "Stigall, A. L."              | 2     |
| "Frey, E."                    | 4     |
| "Melott, A.L."                | 2     |
| "Halfar, J."                  | 4     |
| "KERSHAW, S."                 | 2     |
| "Takahashi, S."               | 3     |
| "King, J."                    | 2     |
| "Chase, R. B."                | 2     |
| "El Hassani, A."              | 2     |
| "Kerber, L."                  | 2     |
| "Desrochers, A."              | 2     |
| "Feist, R."                   | 2     |
| "Kitamura, A."                | 3     |
| "Freiwald, A."                | 2     |
| "Vermeij, G.J."               | 2     |
| "Rodriguez-Tovar, F. J."      | 2     |
| "Tafforeau, P."               | 3     |
| "DE LA FUENTE, M. S."         | 2     |
| "Boukhary, M."                | 3     |
| "Goy, A."                     | 2     |
| "Kanade, M.B."                | 3     |
| "Wible, J.R."                 | 2     |
| "Bartholomew, A. J."          | 2     |
| "Joyce, W.G."                 | 3     |
| "Zhang, Y.-d."                | 2     |
| "Lehnert, O."                 | 4     |
| "Cohen, A. S."                | 7     |
| "Weber, L. J."                | 2     |
| "Kozur, H. W."                | 3     |
| "Matsuoka, K."                | 2     |
| "Schiebel, R."                | 2     |
| "Ernst, A."                   | 3     |
| "Henry, T. W."                | 2     |
| "Zhang, Y."                   | 3     |
| "Wu, F."                      | 2     |
| "Fillmore, D."                | 3     |
| "Waterhouse, J. B."           | 2     |
| "Quesnel, F."                 | 2     |
| "Koenemann, S."               | 2     |
| "Mitta, V. V."                | 4     |
| "HEGNA, T. A."                | 2     |
| "Sun, G."                     | 3     |
| "Grillo, O.N."                | 2     |
| "Rodriguez, S."               | 7     |
| "Zhang, H."                   | 6     |
| "Merceron, G."                | 2     |
| "Nikolajev, G. V."            | 2     |
| "Liu, J."                     | 9     |
| "Sprinkle, J."                | 2     |
| "Mosbrugger, V."              | 9     |
| "Friedrich, O."               | 2     |
| "Bailon, S."                  | 4     |
| "Soester, J."                 | 5     |
| "Jurkovsek, B."               | 4     |
| "Grevelding, C.G."            | 2     |
| "Lecuyer, C."                 | 3     |
| "Gorochov, A. V."             | 2     |
| "Jenkyns, H. C."              | 2     |
| "Schweitzer, C.E."            | 5     |
| "Stoica, M."                  | 2     |
| "Maslova, N. P."              | 2     |
| "Brandt, S."                  | 2     |
| "Tutken, T."                  | 3     |
| "Baudin, F."                  | 2     |
| "AMESBURY, M. J."             | 2     |
| "Venczel, M."                 | 2     |
| "BOULVAIN, F."                | 2     |
| "Wehrmann, A."                | 2     |
| "Geary, D.H."                 | 2     |
| "Uhl, D."                     | 3     |
| "Mayle, F. E."                | 2     |
| "Zelenitsky, D."              | 2     |
