--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| title                                                                                                                                                                                                                                                                                                                                                                | count |
| "Microplankton response to environmental conditions in the Alboran Sea (Western Mediterranean): One year sediment trap record"                                                                                                                                                                                                                                       | 6     |
| "Guadalupian brachiopods from Djebel Tebaga de Medenine, S Tunisia, with 5 pls"                                                                                                                                                                                                                                                                                      | 8     |
| "Impact of an Ecohydrology Classroom Activity on Middle School Students' Understanding of Evapotranspiration"                                                                                                                                                                                                                                                        | 6     |
| "Insecticidal activity of 2-tridecanone against the cowpea weevil Callosobruchus maculatus (Coleoptera: Bruchidae)"                                                                                                                                                                                                                                                  | 7     |
| "Precisely Compartmentalized and Correlated Lower Ordovician Oepikodus evae Zone of the Fuluoian in the Huanghuachang Section, Yichang, Hubei Province"                                                                                                                                                                                                              | 6     |
| "Community in Three Undergraduate University Science Courses: An Analysis of Student Perception"                                                                                                                                                                                                                                                                     | 6     |
| "Early Triassic Archosaur-Dominated Footprint Assemblage from the Argana Basin (Western High Atlas, Morocco)"                                                                                                                                                                                                                                                        | 6     |
| "A 45kyr palaeoclimate record from the lowland interior of tropical South America"                                                                                                                                                                                                                                                                                   | 10    |
| "Occurrence of the Indo-Pacific freshwater prawn Macrobrachium equidens Dana 1852 (Decapoda, Palaemonidae) on the coast of Brazilian Amazonia, with notes on its reproductive biology"                                                                                                                                                                               | 6     |
| "Patterns of local and regional grain size distribution and their application to Holocene climate reconstruction in semi-arid Inner Mongolia, China"                                                                                                                                                                                                                 | 8     |
| "Biogeochemical processes and the diversity of Nhecolandia lakes, Brazil"                                                                                                                                                                                                                                                                                            | 8     |
| "New long-tailed pterosaurs (Wukongopteridae) from western Liaoning, China"                                                                                                                                                                                                                                                                                          | 6     |
| "Integrating Field-Based Research into the Classroom: An Environmental Sampling Exercise"                                                                                                                                                                                                                                                                            | 10    |
| "Anoxic Annulata Events in the Late Famennian of the Holy Cross Mountains (Southern Poland): Geochemical and palaeontological record"                                                                                                                                                                                                                                | 6     |
| "Stable oxygen isotopes from the calcareous-walled dinoflagellate Thoracosphaera heimii as a proxy for changes in mixed layer temperatures off NW Africa during the last 45,000yr"                                                                                                                                                                                   | 6     |
| "Onset and termination of the late-glacial climate reversal in the high-resolution diatom and sedimentary records from the annually laminated SG06 core from Lake Suigetsu, Japan"                                                                                                                                                                                   | 10    |
| "Estimating the chance of success of archaeometric analyses of bone: UV-induced bone fluorescence compared to histological screening"                                                                                                                                                                                                                                | 6     |
| "The Cenomanian-Turonian boundary event on the Moroccan Atlantic margin (Agadir basin): Stable isotope and sequence stratigraphy"                                                                                                                                                                                                                                    | 8     |
| "New isolated pterodactyloid bones from the Albian Toolebuc Formation (western Queensland, Australia) with comments on the Australian pterosaur fauna"                                                                                                                                                                                                               | 7     |
| "Sensitivity of Pliocene ice sheets to orbital forcing"                                                                                                                                                                                                                                                                                                              | 7     |
| "The Permian-Triassic transition and the onset of Mesozoic sedimentation at the northwestern peri-Tethyan domain scale: Palaeogeographic maps and geodynamic implications"                                                                                                                                                                                           | 10    |
| "Early Hettangian benthic-planktonic coupling at Doniford (SW England)"                                                                                                                                                                                                                                                                                              | 6     |
| "Sr/Ca and Mg/Ca ratios of ontogenetically old, long-lived bivalve shells (Arctica islandica) and their function as paleotemperature proxies"                                                                                                                                                                                                                        | 7     |
| "The age of the Sarmatian-Pannonian transition in the Transylvanian Basin (Central Paratethys)"                                                                                                                                                                                                                                                                      | 7     |
| "Palynofacies analysis of the late Holocene San Nicolas terrace of the Cauca paleolake and paleohydrology of northern South America"                                                                                                                                                                                                                                 | 6     |
| "East-West similarities and differences in the surface and deep northern Arabian Sea records during the past 21Kyr"                                                                                                                                                                                                                                                  | 6     |
| "Sedimentary changes on the Southeastern Brazilian upper slope during the last 35,000 years"                                                                                                                                                                                                                                                                         | 7     |
| "Climatic regulation of Clinocardium ciliatum (bivalvia) growth in the northwestern Barents Sea"                                                                                                                                                                                                                                                                     | 7     |
| "Distribution patterns of benthic foraminifera across the Ypresian-Lutetian Gorrondatxe section, Northern Spain: Response to sedimentary disturbance"                                                                                                                                                                                                                | 6     |
| "Neuronal changes caused by Trypanosoma cruzi: an experimental model"                                                                                                                                                                                                                                                                                                | 6     |
| "New fossil vertebrate remains from San Giovanni di Sinis (Late Pleistocene, Sardinia): the last Mauremys (Reptilia, Testudines) in the central Mediterranean"                                                                                                                                                                                                       | 6     |
| "Nebkha formation: Implications for reconstructing environmental changes over the past several centuries in the Ala Shan Plateau, China"                                                                                                                                                                                                                             | 7     |
| "Dinosaurs and the island rule: The dwarfed dinosaurs from Hateg Island"                                                                                                                                                                                                                                                                                             | 7     |
| "Efficacy of ethanolic plant extracts on Biochemical moieties and cocoon characters of Beauveria bassiana (Bals.) Vuill. infected 5th instar larveae, Bombyx mori L"                                                                                                                                                                                                 | 6     |
| "Multiple Early Triassic greenhouse crises impeded recovery from Late Permian mass extinction"                                                                                                                                                                                                                                                                       | 8     |
| "New biostratigraphic, magnetostratigraphic and isotopic insights into the Middle Eocene Climatic Optimum in low latitudes"                                                                                                                                                                                                                                          | 6     |
| "Paleoecology of commensal epizoans fouling Flexicalymene (Trilobita) from the Upper Ordovician, Cincinnati Arch region, USA"                                                                                                                                                                                                                                        | 10    |
